task,metric,stage_transition,pdk,value,kind,src_line
Total Power (u W),MAE,detailed place to detailed route,IHP130,"15,644.47",VAL,17
Total Power (u W),MAE,detailed place to detailed route,ASAP7,"2,177.82",VAL,17
Total Power (u W),MAE,CTS to detailed route,NG45,280.22,VAL,17
Total Power (u W),MAE,CTS to detailed route,SKY130,"2,270.66",VAL,17
Total Power (u W),MAE,CTS to detailed route,IHP130,123.65,VAL,17
Total Power (u W),MAE,CTS to detailed route,ASAP7,55.15,VAL,17
Total Power (u W),MAE,global route to detailed route,NG45,0.00,VAL,17
Total Power (u W),MAE,global route to detailed route,SKY130,0.00,VAL,17
Total Power (u W),MAE,global route to detailed route,IHP130,0.00,VAL,17
Total Power (u W),MAE,global route to detailed route,ASAP7,0.00,VAL,17
Total Power (u W),MAPE,floorplan to detailed route,NG45,27.89 %,VAL,18
Total Power (u W),MAPE,floorplan to detailed route,SKY130,50.85 %,VAL,18
Total Power (u W),MAPE,floorplan to detailed route,IHP130,23.71 %,VAL,18
Total Power (u W),MAPE,floorplan to detailed route,ASAP7,33.47 %,VAL,18
Total Power (u W),MAPE,global place to detailed route,NG45,16.70 %,VAL,18
Total Power (u W),MAPE,global place to detailed route,SKY130,31.36 %,VAL,18
Total Power (u W),MAPE,global place to detailed route,IHP130,18.87 %,VAL,18
Total Power (u W),MAPE,global place to detailed route,ASAP7,19.23 %,VAL,18
Total Power (u W),MAPE,detailed place to detailed route,NG45,15.37 %,VAL,18
Total Power (u W),MAPE,detailed place to detailed route,SKY130,30.00 %,VAL,18
Total Power (u W),MAPE,detailed place to detailed route,IHP130,16.83 %,VAL,18
Total Power (u W),MAPE,detailed place to detailed route,ASAP7,17.57 %,VAL,18
Total Power (u W),MAPE,CTS to detailed route,NG45,0.57 %,VAL,18
Total Power (u W),MAPE,CTS to detailed route,SKY130,1.67 %,VAL,18
Total Power (u W),MAPE,CTS to detailed route,IHP130,0.24 %,VAL,18
Total Power (u W),MAPE,CTS to detailed route,ASAP7,0.29 %,VAL,18
Total Power (u W),MAPE,global route to detailed route,NG45,0.00 %,VAL,18
Total Power (u W),MAPE,global route to detailed route,SKY130,0.00 %,VAL,18
Total Power (u W),MAPE,global route to detailed route,IHP130,0.00 %,VAL,18
Total Power (u W),MAPE,global route to detailed route,ASAP7,0.00 %,VAL,18
Total Power (u W),R^2,floorplan to detailed route,NG45,0.948,VAL,19
Total Power (u W),R^2,floorplan to detailed route,SKY130,0.648,VAL,19
Total Power (u W),R^2,floorplan to detailed route,IHP130,0.807,VAL,19
Total Power (u W),R^2,floorplan to detailed route,ASAP7,0.823,VAL,19
Total Power (u W),R^2,global place to detailed route,NG45,0.987,VAL,19
Total Power (u W),R^2,global place to detailed route,SKY130,0.946,VAL,19
Total Power (u W),R^2,global place to detailed route,IHP130,0.781,VAL,19
Total Power (u W),R^2,global place to detailed route,ASAP7,0.976,VAL,19
Total Power (u W),R^2,detailed place to detailed route,NG45,0.989,VAL,19
Total Power (u W),R^2,detailed place to detailed route,SKY130,0.944,VAL,19
Total Power (u W),R^2,detailed place to detailed route,IHP130,0.798,VAL,19
Total Power (u W),R^2,detailed place to detailed route,ASAP7,0.977,VAL,19
Total Power (u W),R^2,CTS to detailed route,NG45,1.000,VAL,19
Total Power (u W),R^2,CTS to detailed route,SKY130,0.997,VAL,19
Total Power (u W),R^2,CTS to detailed route,IHP130,1.000,VAL,19
Total Power (u W),R^2,CTS to detailed route,ASAP7,1.000,VAL,19
Total Power (u W),R^2,global route to detailed route,NG45,1.000,VAL,19
Total Power (u W),R^2,global route to detailed route,SKY130,1.000,VAL,19
Total Power (u W),R^2,global route to detailed route,IHP130,1.000,VAL,19
Total Power (u W),R^2,global route to detailed route,ASAP7,1.000,VAL,19
Total wirelength (u m),MAE,floorplan to detailed route,NG45,,VOID,20
Total wirelength (u m),MAE,floorplan to detailed route,SKY130,,VOID,20
Total wirelength (u m),MAE,floorplan to detailed route,IHP130,,VOID,20
Total wirelength (u m),MAE,floorplan to detailed route,ASAP7,,VOID,20
Total wirelength (u m),MAE,global place to detailed route,NG45,"30,529.92",VAL,20
Total wirelength (u m),MAE,global place to detailed route,SKY130,"83,777.43",VAL,20
Total wirelength (u m),MAE,global place to detailed route,IHP130,"117,233.52",VAL,20
Total wirelength (u m),MAE,global place to detailed route,ASAP7,"6,460.04",VAL,20
Total wirelength (u m),MAE,detailed place to detailed route,NG45,"20,115.77",VAL,20
Total wirelength (u m),MAE,detailed place to detailed route,SKY130,"61,602.30",VAL,20
Total wirelength (u m),MAE,detailed place to detailed route,IHP130,"57,977.64",VAL,20
