task,metric,stage_transition,pdk,value,kind,src_line
Worst Arrival Time (ns),MAPE,detailed place to detailed route,NG45,13.81 %,VAL,31
Worst Arrival Time (ns),MAPE,detailed place to detailed route,SKY130,33.30 %,VAL,31
Worst Arrival Time (ns),MAPE,detailed place to detailed route,IHP130,15.82 %,VAL,31
Worst Arrival Time (ns),MAPE,detailed place to detailed route,ASAP7,10.44 %,VAL,31
Worst Arrival Time (ns),MAPE,CTS to detailed route,NG45,1.60 %,VAL,31
Worst Arrival Time (ns),MAPE,CTS to detailed route,SKY130,4.69 %,VAL,31
Worst Arrival Time (ns),MAPE,CTS to detailed route,IHP130,2.32 %,VAL,31
Worst Arrival Time (ns),MAPE,CTS to detailed route,ASAP7,2.14 %,VAL,31
Worst Arrival Time (ns),MAPE,global route to detailed route,NG45,0.00 %,VAL,31
Worst Arrival Time (ns),MAPE,global route to detailed route,SKY130,0.00 %,VAL,31
Worst Arrival Time (ns),MAPE,global route to detailed route,IHP130,0.00 %,VAL,31
Worst Arrival Time (ns),MAPE,global route to detailed route,ASAP7,0.00 %,VAL,31
Worst Slack (ns),MAE,floorplan to detailed route,NG45,3.18,VAL,32
Worst Slack (ns),MAE,floorplan to detailed route,SKY130,11.28,VAL,32
Worst Slack (ns),MAE,floorplan to detailed route,IHP130,8.83,VAL,32
Worst Slack (ns),MAE,floorplan to detailed route,ASAP7,0.03,VAL,32
Worst Slack (ns),MAE,global place to detailed route,NG45,0.21,VAL,32
Worst Slack (ns),MAE,global place to detailed route,SKY130,1.15,VAL,32
Worst Slack (ns),MAE,global place to detailed route,IHP130,0.27,VAL,32
Worst Slack (ns),MAE,global place to detailed route,ASAP7,0.05,VAL,32
Worst Slack (ns),MAE,detailed place to detailed route,NG45,0.15,VAL,32
Worst Slack (ns),MAE,detailed place to detailed route,SKY130,1.62,VAL,32
Worst Slack (ns),MAE,detailed place to detailed route,IHP130,0.31,VAL,32
Worst Slack (ns),MAE,detailed place to detailed route,ASAP7,0.05,VAL,32
Worst Slack (ns),MAE,CTS to detailed route,NG45,0.01,VAL,32
Worst Slack (ns),MAE,CTS to detailed route,SKY130,0.09,VAL,32
Worst Slack (ns),MAE,CTS to detailed route,IHP130,0.04,VAL,32
Worst Slack (ns),MAE,CTS to detailed route,ASAP7,0.01,VAL,32
Worst Slack (ns),MAE,global route to detailed route,NG45,0.00,VAL,32
Worst Slack (ns),MAE,global route to detailed route,SKY130,0.00,VAL,32
Worst Slack (ns),MAE,global route to detailed route,IHP130,0.00,VAL,32
Worst Slack (ns),MAE,global route to detailed route,ASAP7,0.00,VAL,32
Worst Slack (ns),MPE,floorplan to detailed route,NG45,0.06,VAL,33
Worst Slack (ns),MPE,floorplan to detailed route,SKY130,0.30,VAL,33
Worst Slack (ns),MPE,floorplan to detailed route,IHP130,0.30,VAL,33
Worst Slack (ns),MPE,floorplan to detailed route,ASAP7,0.04,VAL,33
Worst Slack (ns),MPE,global place to detailed route,NG45,0.09,VAL,33
Worst Slack (ns),MPE,global place to detailed route,SKY130,0.27,VAL,33
Worst Slack (ns),MPE,global place to detailed route,IHP130,0.27,VAL,33
Worst Slack (ns),MPE,global place to detailed route,ASAP7,0.04,VAL,33
Worst Slack (ns),MPE,detailed place to detailed route,NG45,0.04,VAL,33
Worst Slack (ns),MPE,detailed place to detailed route,SKY130,0.17,VAL,33
Worst Slack (ns),MPE,detailed place to detailed route,IHP130,0.20,VAL,33
Worst Slack (ns),MPE,detailed place to detailed route,ASAP7,0.03,VAL,33
Worst Slack (ns),MPE,CTS to detailed route,NG45,0.01,VAL,33
Worst Slack (ns),MPE,CTS to detailed route,SKY130,0.03,VAL,33
Worst Slack (ns),MPE,CTS to detailed route,IHP130,0.04,VAL,33
Worst Slack (ns),MPE,CTS to detailed route,ASAP7,0.00,VAL,33
Worst Slack (ns),MPE,global route to detailed route,NG45,,DEGENERATE,33
Worst Slack (ns),MPE,global route to detailed route,SKY130,,DEGENERATE,33
Worst Slack (ns),MPE,global route to detailed route,IHP130,,DEGENERATE,33
Worst Slack (ns),MPE,global route to detailed route,ASAP7,,DEGENERATE,33
Worst Slack (ns),MNE,floorplan to detailed route,NG45,3.68,VAL,34
Worst Slack (ns),MNE,floorplan to detailed route,SKY130,12.15,VAL,34
Worst Slack (ns),MNE,floorplan to detailed route,IHP130,9.35,VAL,34
Worst Slack (ns),MNE,floorplan to detailed route,ASAP7,0.02,VAL,34
Worst Slack (ns),MNE,global place to detailed route,NG45,0.24,VAL,34
Worst Slack (ns),MNE,global place to detailed route,SKY130,1.26,VAL,34
Worst Slack (ns),MNE,global place to detailed route,IHP130,0.26,VAL,34
Worst Slack (ns),MNE,global place to detailed route,ASAP7,0.05,VAL,34
Worst Slack (ns),MNE,detailed place to detailed route,NG45,0.17,VAL,34
Worst Slack (ns),MNE,detailed place to detailed route,SKY130,1.68,VAL,34
Worst Slack (ns),MNE,detailed place to detailed route,IHP130,0.36,VAL,34
Worst Slack (ns),MNE,detailed place to detailed route,ASAP7,0.06,VAL,34
Worst Slack (ns),MNE,CTS to detailed route,NG45,0.02,VAL,34
Worst Slack (ns),MNE,CTS to detailed route,SKY130,0.12,VAL,34
Worst Slack (ns),MNE,CTS to detailed route,IHP130,0.13,VAL,34
Worst Slack (ns),MNE,CTS to detailed route,ASAP7,0.01,VAL,34
Worst Slack (ns),MNE,global route to detailed route,NG45,No positive or negative error\\ n_p = n_n = 0,DEGENERATE,34
Worst Slack (ns),MNE,global route to detailed route,SKY130,No positive or negative error\\ n_p = n_n = 0,DEGENERATE,34
Worst Slack (ns),MNE,global route to detailed route,IHP130,No positive or negative error\\ n_p = n_n = 0,DEGENERATE,34
Worst Slack (ns),MNE,global route to detailed route,ASAP7,No positive or negative error\\ n_p = n_n = 0,DEGENERATE,34
Worst Slack (ns),TPR,floorplan to detailed route,NG45,95.67 %,VAL,35
Worst Slack (ns),TPR,floorplan to detailed route,SKY130,96.32 %,VAL,35
Worst Slack (ns),TPR,floorplan to detailed route,IHP130,94.52 %,VAL,35
Worst Slack (ns),TPR,floorplan to detailed route,ASAP7,67.94 %,VAL,35
Worst Slack (ns),TPR,global place to detailed route,NG45,95.67 %,VAL,35
Worst Slack (ns),TPR,global place to detailed route,SKY130,96.21 %,VAL,35
Worst Slack (ns),TPR,global place to detailed route,IHP130,64.38 %,VAL,35
Worst Slack (ns),TPR,global place to detailed route,ASAP7,93.08 %,VAL,35
Worst Slack (ns),TPR,detailed place to detailed route,NG45,95.67 %,VAL,35
Worst Slack (ns),TPR,detailed place to detailed route,SKY130,98.53 %,VAL,35
Worst Slack (ns),TPR,detailed place to detailed route,IHP130,58.90 %,VAL,35
Worst Slack (ns),TPR,detailed place to detailed route,ASAP7,99.45 %,VAL,35
Worst Slack (ns),TPR,CTS to detailed route,NG45,100.00 %,VAL,35
Worst Slack (ns),TPR,CTS to detailed route,SKY130,99.47 %,VAL,35
Worst Slack (ns),TPR,CTS to detailed route,IHP130,96.58 %,VAL,35
Worst Slack (ns),TPR,CTS to detailed route,ASAP7,100.00 %,VAL,35
Worst Slack (ns),TPR,global route to detailed route,NG45,100.00 %,VAL,35
Worst Slack (ns),TPR,global route to detailed route,SKY130,100.00 %,VAL,35
Worst Slack (ns),TPR,global route to detailed route,IHP130,100.00 %,VAL,35
Worst Slack (ns),TPR,global route to detailed route,ASAP7,100.00 %,VAL,35
Worst Slack (ns),TNR,floorplan to detailed route,NG45,28.70 %,VAL,36
Worst Slack (ns),TNR,floorplan to detailed route,SKY130,15.76 %,VAL,36
Worst Slack (ns),TNR,floorplan to detailed route,IHP130,28.11 %,VAL,36
Worst Slack (ns),TNR,floorplan to detailed route,ASAP7,97.70 %,VAL,36
Worst Slack (ns),TNR,global place to detailed route,NG45,57.56 %,VAL,36
Worst Slack (ns),TNR,global place to detailed route,SKY130,21.39 %,VAL,36
Worst Slack (ns),TNR,global place to detailed route,IHP130,95.54 %,VAL,36
Worst Slack (ns),TNR,global place to detailed route,ASAP7,63.75 %,VAL,36
Worst Slack (ns),TNR,detailed place to detailed route,NG45,56.26 %,VAL,36
Worst Slack (ns),TNR,detailed place to detailed route,SKY130,8.39 %,VAL,36
Worst Slack (ns),TNR,detailed place to detailed route,IHP130,91.58 %,VAL,36
Worst Slack (ns),TNR,detailed place to detailed route,ASAP7,58.79 %,VAL,36
Worst Slack (ns),TNR,CTS to detailed route,NG45,93.24 %,VAL,36
Worst Slack (ns),TNR,CTS to detailed route,SKY130,60.59 %,VAL,36
Worst Slack (ns),TNR,CTS to detailed route,IHP130,99.22 %,VAL,36
Worst Slack (ns),TNR,CTS to detailed route,ASAP7,91.53 %,VAL,36
Worst Slack (ns),TNR,global route to detailed route,NG45,100.00 %,VAL,36
Worst Slack (ns),TNR,global route to detailed route,SKY130,100.00 %,VAL,36
Worst Slack (ns),TNR,global route to detailed route,IHP130,100.00 %,VAL,36
Worst Slack (ns),TNR,global route to detailed route,ASAP7,100.00 %,VAL,36
Total Negative Slack (ns),MAE,floorplan to detailed route,NG45,"1,764.18",VAL,37
Total Negative Slack (ns),MAE,floorplan to detailed route,SKY130,"17,768.52",VAL,37
Total Negative Slack (ns),MAE,floorplan to detailed route,IHP130,"3,755.75",VAL,37
Total Negative Slack (ns),MAE,floorplan to detailed route,ASAP7,1.09,VAL,37
Total Negative Slack (ns),MAE,global place to detailed route,NG45,57.74,VAL,37
Total Negative Slack (ns),MAE,global place to detailed route,SKY130,727.04,VAL,37
Total Negative Slack (ns),MAE,global place to detailed route,IHP130,0.57,VAL,37
Total Negative Slack (ns),MAE,global place to detailed route,ASAP7,5.65,VAL,37
Total Negative Slack (ns),MAE,detailed place to detailed route,NG45,22.45,VAL,37
Total Negative Slack (ns),MAE,detailed place to detailed route,SKY130,959.12,VAL,37
Total Negative Slack (ns),MAE,detailed place to detailed route,IHP130,1.05,VAL,37
Total Negative Slack (ns),MAE,detailed place to detailed route,ASAP7,5.75,VAL,37
Total Negative Slack (ns),MAE,CTS to detailed route,NG45,2.11,VAL,37
Total Negative Slack (ns),MAE,CTS to detailed route,SKY130,70.22,VAL,37
Total Negative Slack (ns),MAE,CTS to detailed route,IHP130,0.04,VAL,37
Total Negative Slack (ns),MAE,CTS to detailed route,ASAP7,1.01,VAL,37
Total Negative Slack (ns),MAE,global route to detailed route,NG45,0.00,VAL,37
Total Negative Slack (ns),MAE,global route to detailed route,SKY130,0.00,VAL,37
Total Negative Slack (ns),MAE,global route to detailed route,IHP130,0.00,VAL,37
Total Negative Slack (ns),MAE,global route to detailed route,ASAP7,0.00,VAL,37
Total Negative Slack (ns),MPE,floorplan to detailed route,NG45,1.26,VAL,38
Total Negative Slack (ns),MPE,floorplan to detailed route,SKY130,4.74,VAL,38
Total Negative Slack (ns),MPE,floorplan to detailed route,IHP130,2.50,VAL,38
Total Negative Slack (ns),MPE,floorplan to detailed route,ASAP7,3.92,VAL,38
Total Negative Slack (ns),MPE,global place to detailed route,NG45,24.60,VAL,38
Total Negative Slack (ns),MPE,global place to detailed route,SKY130,5.30,VAL,38
Total Negative Slack (ns),MPE,global place to detailed route,IHP130,1.82,VAL,38
Total Negative Slack (ns),MPE,global place to detailed route,ASAP7,3.76,VAL,38
Total Negative Slack (ns),MPE,detailed place to detailed route,NG45,23.22,VAL,38
Total Negative Slack (ns),MPE,detailed place to detailed route,SKY130,2.74,VAL,38
Total Negative Slack (ns),MPE,detailed place to detailed route,IHP130,1.88,VAL,38
Total Negative Slack (ns),MPE,detailed place to detailed route,ASAP7,4.68,VAL,38
Total Negative Slack (ns),MPE,CTS to detailed route,NG45,4.81,VAL,38
Total Negative Slack (ns),MPE,CTS to detailed route,SKY130,22.51,VAL,38
Total Negative Slack (ns),MPE,CTS to detailed route,IHP130,0.17,VAL,38
Total Negative Slack (ns),MPE,CTS to detailed route,ASAP7,1.56,VAL,38
Total Negative Slack (ns),MPE,global route to detailed route,NG45,,DEGENERATE,38
Total Negative Slack (ns),MPE,global route to detailed route,SKY130,,DEGENERATE,38
Total Negative Slack (ns),MPE,global route to detailed route,IHP130,,DEGENERATE,38
Total Negative Slack (ns),MPE,global route to detailed route,ASAP7,,DEGENERATE,38
Total Negative Slack (ns),MNE,floorplan to detailed route,NG45,"2,296.57",VAL,39
Total Negative Slack (ns),MNE,floorplan to detailed route,SKY130,"20,176.54",VAL,39
Total Negative Slack (ns),MNE,floorplan to detailed route,IHP130,"5,201.66",VAL,39
Total Negative Slack (ns),MNE,floorplan to detailed route,ASAP7,2.10,VAL,39
Total Negative Slack (ns),MNE,global place to detailed route,NG45,101.63,VAL,39
Total Negative Slack (ns),MNE,global place to detailed route,SKY130,849.90,VAL,39
Total Negative Slack (ns),MNE,global place to detailed route,IHP130,7.15,VAL,39
Total Negative Slack (ns),MNE,global place to detailed route,ASAP7,11.49,VAL,39
Total Negative Slack (ns),MNE,detailed place to detailed route,NG45,37.22,VAL,39
Total Negative Slack (ns),MNE,detailed place to detailed route,SKY130,"1,031.87",VAL,39
Total Negative Slack (ns),MNE,detailed place to detailed route,IHP130,9.00,VAL,39
Total Negative Slack (ns),MNE,detailed place to detailed route,ASAP7,10.54,VAL,39
Total Negative Slack (ns),MNE,CTS to detailed route,NG45,6.34,VAL,39
Total Negative Slack (ns),MNE,CTS to detailed route,SKY130,123.39,VAL,39
Total Negative Slack (ns),MNE,CTS to detailed route,IHP130,0.76,VAL,39
Total Negative Slack (ns),MNE,CTS to detailed route,ASAP7,3.78,VAL,39
Total Negative Slack (ns),MNE,global route to detailed route,NG45,No positive or negative error\\ n_p = n_n = 0,DEGENERATE,39
Total Negative Slack (ns),MNE,global route to detailed route,SKY130,No positive or negative error\\ n_p = n_n = 0,DEGENERATE,39
Total Negative Slack (ns),MNE,global route to detailed route,IHP130,No positive or negative error\\ n_p = n_n = 0,DEGENERATE,39
Total Negative Slack (ns),MNE,global route to detailed route,ASAP7,No positive or negative error\\ n_p = n_n = 0,DEGENERATE,39
Timing Path Arrival Time (ns),MAE,floorplan to detailed route,NG45,0.4756,VAL,40
Timing Path Arrival Time (ns),MAE,floorplan to detailed route,SKY130,2.9814,VAL,40
Timing Path Arrival Time (ns),MAE,floorplan to detailed route,IHP130,1.7195,VAL,40
Timing Path Arrival Time (ns),MAE,floorplan to detailed route,ASAP7,0.1836,VAL,40
Timing Path Arrival Time (ns),MAE,global place to detailed route,NG45,0.2313,VAL,40
Timing Path Arrival Time (ns),MAE,global place to detailed route,SKY130,0.9552,VAL,40
Timing Path Arrival Time (ns),MAE,global place to detailed route,IHP130,0.6682,VAL,40
Timing Path Arrival Time (ns),MAE,global place to detailed route,ASAP7,0.1509,VAL,40
Timing Path Arrival Time (ns),MAE,detailed place to detailed route,NG45,0.2398,VAL,40
Timing Path Arrival Time (ns),MAE,detailed place to detailed route,SKY130,0.9151,VAL,40
Timing Path Arrival Time (ns),MAE,detailed place to detailed route,IHP130,0.6392,VAL,40
Timing Path Arrival Time (ns),MAE,detailed place to detailed route,ASAP7,0.1462,VAL,40
Timing Path Arrival Time (ns),MAE,CTS to detailed route,NG45,0.0022,VAL,40
Timing Path Arrival Time (ns),MAE,CTS to detailed route,SKY130,0.0319,VAL,40
Timing Path Arrival Time (ns),MAE,CTS to detailed route,IHP130,0.0041,VAL,40
Timing Path Arrival Time (ns),MAE,CTS to detailed route,ASAP7,0.0012,VAL,40
Timing Path Arrival Time (ns),MAE,global route to detailed route,NG45,0.0000,VAL,40
Timing Path Arrival Time (ns),MAE,global route to detailed route,SKY130,0.0000,VAL,40
Timing Path Arrival Time (ns),MAE,global route to detailed route,IHP130,0.0000,VAL,40
Timing Path Arrival Time (ns),MAE,global route to detailed route,ASAP7,0.0000,VAL,40
Timing Path Arrival Time (ns),MAPE,floorplan to detailed route,NG45,75.89 %,VAL,41
Timing Path Arrival Time (ns),MAPE,floorplan to detailed route,SKY130,92.31 %,VAL,41
Timing Path Arrival Time (ns),MAPE,floorplan to detailed route,IHP130,95.11 %,VAL,41
Timing Path Arrival Time (ns),MAPE,floorplan to detailed route,ASAP7,51.92 %,VAL,41
Timing Path Arrival Time (ns),MAPE,global place to detailed route,NG45,46.25 %,VAL,41
Timing Path Arrival Time (ns),MAPE,global place to detailed route,SKY130,39.61 %,VAL,41
Timing Path Arrival Time (ns),MAPE,global place to detailed route,IHP130,43.00 %,VAL,41
Timing Path Arrival Time (ns),MAPE,global place to detailed route,ASAP7,42.55 %,VAL,41
Timing Path Arrival Time (ns),MAPE,detailed place to detailed route,NG45,45.63 %,VAL,41
Timing Path Arrival Time (ns),MAPE,detailed place to detailed route,SKY130,37.87 %,VAL,41
Timing Path Arrival Time (ns),MAPE,detailed place to detailed route,IHP130,41.34 %,VAL,41
Timing Path Arrival Time (ns),MAPE,detailed place to detailed route,ASAP7,41.05 %,VAL,41
Timing Path Arrival Time (ns),MAPE,CTS to detailed route,NG45,0.27 %,VAL,41
Timing Path Arrival Time (ns),MAPE,CTS to detailed route,SKY130,0.80 %,VAL,41
Timing Path Arrival Time (ns),MAPE,CTS to detailed route,IHP130,0.18 %,VAL,41
Timing Path Arrival Time (ns),MAPE,CTS to detailed route,ASAP7,0.22 %,VAL,41
Timing Path Arrival Time (ns),MAPE,global route to detailed route,NG45,0.00 %,VAL,41
Timing Path Arrival Time (ns),MAPE,global route to detailed route,SKY130,0.00 %,VAL,41
Timing Path Arrival Time (ns),MAPE,global route to detailed route,IHP130,0.00 %,VAL,41
Timing Path Arrival Time (ns),MAPE,global route to detailed route,ASAP7,0.00 %,VAL,41
Timing Path Arrival Time (ns),MAE P95,floorplan to detailed route,NG45,1.0541,VAL,42
Timing Path Arrival Time (ns),MAE P95,floorplan to detailed route,SKY130,7.1590,VAL,42
Timing Path Arrival Time (ns),MAE P95,floorplan to detailed route,IHP130,4.6540,VAL,42
Timing Path Arrival Time (ns),MAE P95,floorplan to detailed route,ASAP7,0.3296,VAL,42
Timing Path Arrival Time (ns),MAE P95,global place to detailed route,NG45,0.3600,VAL,42
Timing Path Arrival Time (ns),MAE P95,global place to detailed route,SKY130,1.5150,VAL,42
Timing Path Arrival Time (ns),MAE P95,global place to detailed route,IHP130,0.8949,VAL,42
Timing Path Arrival Time (ns),MAE P95,global place to detailed route,ASAP7,0.2385,VAL,42
Timing Path Arrival Time (ns),MAE P95,detailed place to detailed route,NG45,0.3570,VAL,42
Timing Path Arrival Time (ns),MAE P95,detailed place to detailed route,SKY130,1.5320,VAL,42
Timing Path Arrival Time (ns),MAE P95,detailed place to detailed route,IHP130,0.8899,VAL,42
Timing Path Arrival Time (ns),MAE P95,detailed place to detailed route,ASAP7,0.2387,VAL,42
Timing Path Arrival Time (ns),MAE P95,CTS to detailed route,NG45,0.0107,VAL,42
Timing Path Arrival Time (ns),MAE P95,CTS to detailed route,SKY130,0.1980,VAL,42
Timing Path Arrival Time (ns),MAE P95,CTS to detailed route,IHP130,0.0220,VAL,42
Timing Path Arrival Time (ns),MAE P95,CTS to detailed route,ASAP7,0.0036,VAL,42
Timing Path Arrival Time (ns),MAE P95,global route to detailed route,NG45,0.0000,VAL,42
Timing Path Arrival Time (ns),MAE P95,global route to detailed route,SKY130,0.0000,VAL,42
Timing Path Arrival Time (ns),MAE P95,global route to detailed route,IHP130,0.0000,VAL,42
Timing Path Arrival Time (ns),MAE P95,global route to detailed route,ASAP7,0.0000,VAL,42
Timing Path Arrival Time (ns),MAPE P95,floorplan to detailed route,NG45,133.31 %,VAL,43
Timing Path Arrival Time (ns),MAPE P95,floorplan to detailed route,SKY130,169.45 %,VAL,43
Timing Path Arrival Time (ns),MAPE P95,floorplan to detailed route,IHP130,241.72 %,VAL,43
Timing Path Arrival Time (ns),MAPE P95,floorplan to detailed route,ASAP7,74.00 %,VAL,43
Timing Path Arrival Time (ns),MAPE P95,global place to detailed route,NG45,69.54 %,VAL,43
Timing Path Arrival Time (ns),MAPE P95,global place to detailed route,SKY130,64.36 %,VAL,43
Timing Path Arrival Time (ns),MAPE P95,global place to detailed route,IHP130,65.89 %,VAL,43
Timing Path Arrival Time (ns),MAPE P95,global place to detailed route,ASAP7,70.09 %,VAL,43
Timing Path Arrival Time (ns),MAPE P95,detailed place to detailed route,NG45,69.32 %,VAL,43
Timing Path Arrival Time (ns),MAPE P95,detailed place to detailed route,SKY130,64.39 %,VAL,43
Timing Path Arrival Time (ns),MAPE P95,detailed place to detailed route,IHP130,65.77 %,VAL,43
Timing Path Arrival Time (ns),MAPE P95,detailed place to detailed route,ASAP7,70.06 %,VAL,43
Timing Path Arrival Time (ns),MAPE P95,CTS to detailed route,NG45,1.27 %,VAL,43
Timing Path Arrival Time (ns),MAPE P95,CTS to detailed route,SKY130,4.81 %,VAL,43
Timing Path Arrival Time (ns),MAPE P95,CTS to detailed route,IHP130,0.98 %,VAL,43
Timing Path Arrival Time (ns),MAPE P95,CTS to detailed route,ASAP7,0.68 %,VAL,43
Timing Path Arrival Time (ns),MAPE P95,global route to detailed route,NG45,0.00 %,VAL,43
Timing Path Arrival Time (ns),MAPE P95,global route to detailed route,SKY130,0.00 %,VAL,43
Timing Path Arrival Time (ns),MAPE P95,global route to detailed route,IHP130,0.00 %,VAL,43
Timing Path Arrival Time (ns),MAPE P95,global route to detailed route,ASAP7,0.00 %,VAL,43
Timing Path Arrival Time (ns),MAE TOP5,floorplan to detailed route,NG45,2.6279,VAL,44
Timing Path Arrival Time (ns),MAE TOP5,floorplan to detailed route,SKY130,10.1956,VAL,44
Timing Path Arrival Time (ns),MAE TOP5,floorplan to detailed route,IHP130,1.8427,VAL,44
Timing Path Arrival Time (ns),MAE TOP5,floorplan to detailed route,ASAP7,0.3048,VAL,44
Timing Path Arrival Time (ns),MAE TOP5,global place to detailed route,NG45,0.2398,VAL,44
Timing Path Arrival Time (ns),MAE TOP5,global place to detailed route,SKY130,0.9467,VAL,44
Timing Path Arrival Time (ns),MAE TOP5,global place to detailed route,IHP130,0.7733,VAL,44
Timing Path Arrival Time (ns),MAE TOP5,global place to detailed route,ASAP7,0.1986,VAL,44
Timing Path Arrival Time (ns),MAE TOP5,detailed place to detailed route,NG45,0.1971,VAL,44
Timing Path Arrival Time (ns),MAE TOP5,detailed place to detailed route,SKY130,1.0037,VAL,44
Timing Path Arrival Time (ns),MAE TOP5,detailed place to detailed route,IHP130,0.7550,VAL,44
Timing Path Arrival Time (ns),MAE TOP5,detailed place to detailed route,ASAP7,0.1975,VAL,44
Timing Path Arrival Time (ns),MAE TOP5,CTS to detailed route,NG45,0.0107,VAL,44
Timing Path Arrival Time (ns),MAE TOP5,CTS to detailed route,SKY130,0.1110,VAL,44
Timing Path Arrival Time (ns),MAE TOP5,CTS to detailed route,IHP130,0.0246,VAL,44
Timing Path Arrival Time (ns),MAE TOP5,CTS to detailed route,ASAP7,0.0037,VAL,44
Timing Path Arrival Time (ns),MAE TOP5,global route to detailed route,NG45,0.0000,VAL,44
Timing Path Arrival Time (ns),MAE TOP5,global route to detailed route,SKY130,0.0000,VAL,44
Timing Path Arrival Time (ns),MAE TOP5,global route to detailed route,IHP130,0.0000,VAL,44
Timing Path Arrival Time (ns),MAE TOP5,global route to detailed route,ASAP7,0.0000,VAL,44
Timing Path Arrival Time (ns),MAPE TOP5,floorplan to detailed route,NG45,208.58 %,VAL,45
Timing Path Arrival Time (ns),MAPE TOP5,floorplan to detailed route,SKY130,164.89 %,VAL,45
Timing Path Arrival Time (ns),MAPE TOP5,floorplan to detailed route,IHP130,58.23 %,VAL,45
Timing Path Arrival Time (ns),MAPE TOP5,floorplan to detailed route,ASAP7,36.41 %,VAL,45
Timing Path Arrival Time (ns),MAPE TOP5,global place to detailed route,NG45,15.32 %,VAL,45
Timing Path Arrival Time (ns),MAPE TOP5,global place to detailed route,SKY130,14.73 %,VAL,45
Timing Path Arrival Time (ns),MAPE TOP5,global place to detailed route,IHP130,24.60 %,VAL,45
Timing Path Arrival Time (ns),MAPE TOP5,global place to detailed route,ASAP7,23.24 %,VAL,45
Timing Path Arrival Time (ns),MAPE TOP5,detailed place to detailed route,NG45,12.57 %,VAL,45
Timing Path Arrival Time (ns),MAPE TOP5,detailed place to detailed route,SKY130,15.69 %,VAL,45
Timing Path Arrival Time (ns),MAPE TOP5,detailed place to detailed route,IHP130,23.97 %,VAL,45
Timing Path Arrival Time (ns),MAPE TOP5,detailed place to detailed route,ASAP7,23.01 %,VAL,45
Timing Path Arrival Time (ns),MAPE TOP5,CTS to detailed route,NG45,0.70 %,VAL,45
Timing Path Arrival Time (ns),MAPE TOP5,CTS to detailed route,SKY130,1.68 %,VAL,45
Timing Path Arrival Time (ns),MAPE TOP5,CTS to detailed route,IHP130,0.73 %,VAL,45
Timing Path Arrival Time (ns),MAPE TOP5,CTS to detailed route,ASAP7,0.42 %,VAL,45
Timing Path Arrival Time (ns),MAPE TOP5,global route to detailed route,NG45,0.00 %,VAL,45
Timing Path Arrival Time (ns),MAPE TOP5,global route to detailed route,SKY130,0.00 %,VAL,45
Timing Path Arrival Time (ns),MAPE TOP5,global route to detailed route,IHP130,0.00 %,VAL,45
Timing Path Arrival Time (ns),MAPE TOP5,global route to detailed route,ASAP7,0.00 %,VAL,45
Timing Path Slack (ns),MAE,floorplan to detailed route,NG45,0.2450,VAL,46
Timing Path Slack (ns),MAE,floorplan to detailed route,SKY130,2.6909,VAL,46
Timing Path Slack (ns),MAE,floorplan to detailed route,IHP130,1.8879,VAL,46
Timing Path Slack (ns),MAE,floorplan to detailed route,ASAP7,0.0400,VAL,46
Timing Path Slack (ns),MAE,global place to detailed route,NG45,0.0532,VAL,46
Timing Path Slack (ns),MAE,global place to detailed route,SKY130,0.2179,VAL,46
Timing Path Slack (ns),MAE,global place to detailed route,IHP130,0.0736,VAL,46
Timing Path Slack (ns),MAE,global place to detailed route,ASAP7,0.0166,VAL,46
Timing Path Slack (ns),MAE,detailed place to detailed route,NG45,0.0280,VAL,46
Timing Path Slack (ns),MAE,detailed place to detailed route,SKY130,0.2873,VAL,46
Timing Path Slack (ns),MAE,detailed place to detailed route,IHP130,0.0975,VAL,46
Timing Path Slack (ns),MAE,detailed place to detailed route,ASAP7,0.0203,VAL,46
Timing Path Slack (ns),MAE,CTS to detailed route,NG45,0.0023,VAL,46
Timing Path Slack (ns),MAE,CTS to detailed route,SKY130,0.0316,VAL,46
Timing Path Slack (ns),MAE,CTS to detailed route,IHP130,0.0040,VAL,46
Timing Path Slack (ns),MAE,CTS to detailed route,ASAP7,0.0012,VAL,46
Timing Path Slack (ns),MAE,global route to detailed route,NG45,0.0000,VAL,46
Timing Path Slack (ns),MAE,global route to detailed route,SKY130,0.0000,VAL,46
Timing Path Slack (ns),MAE,global route to detailed route,IHP130,0.0000,VAL,46
Timing Path Slack (ns),MAE,global route to detailed route,ASAP7,0.0000,VAL,46
Timing Path Slack (ns),MPE,floorplan to detailed route,NG45,0.0361,VAL,47
Timing Path Slack (ns),MPE,floorplan to detailed route,SKY130,1.7111,VAL,47
Timing Path Slack (ns),MPE,floorplan to detailed route,IHP130,0.9992,VAL,47
Timing Path Slack (ns),MPE,floorplan to detailed route,ASAP7,0.0788,VAL,47
Timing Path Slack (ns),MPE,global place to detailed route,NG45,0.0282,VAL,47
Timing Path Slack (ns),MPE,global place to detailed route,SKY130,0.0851,VAL,47
Timing Path Slack (ns),MPE,global place to detailed route,IHP130,0.0556,VAL,47
Timing Path Slack (ns),MPE,global place to detailed route,ASAP7,0.0150,VAL,47
Timing Path Slack (ns),MPE,detailed place to detailed route,NG45,0.0299,VAL,47
Timing Path Slack (ns),MPE,detailed place to detailed route,SKY130,0.1210,VAL,47
Timing Path Slack (ns),MPE,detailed place to detailed route,IHP130,0.0741,VAL,47
Timing Path Slack (ns),MPE,detailed place to detailed route,ASAP7,0.0167,VAL,47
